count,class,description
1,8-89,Industrial condominium unit
1,8-01,Garage used in conjunction with commercial incentive improvement
1,6-55,Garage used in conjunction with industrial Brownfield incentive improvement
1,6-87,Special industrial improvement
1,8-27,Theatre
1,6-68,Special industrial Brownfield improvement
1,7-52,"Garage, service station"
1,4-30,Not for profit supermarket
1,4-83,Not for profit industrial quonset hut or butler type building
1,7-23,"Gasoline station, with /without bays, store"
1,4-18,Not for profit two or three story mixed use commercial/residential building
1,7-46,Non-Fireproof hotel or rooming house (Apartment hotel)
2,9-00,Land used in conjunction with incentive rental apartments
2,4-22,Not for profit one story non-fireproof public garage
2,8-87,Special industrial improvement
2,6-71,Garage used in conjunction with industrial incentive improvement
2,6-80,Industrial minor improvement
2,7-74,Office building
3,7-28,Bank building
3,8-31,"Shopping center (Regional, community, neighborhood, promotional, specialty)"
3,9-19,Description Unknown
3,6-54,Other industrial Brownfield minor improvements
3,8-29,Motel
3,4-01,Not for profit garage
3,7-97,Special commercial structure
4,4-80,Not for profit industrial minor improvement
5,8-83,Quonset hut or butler type building
6,6-93,Industrial building
7,4-28,Not for profit bank building
7,8-92,Two or three story building containing part or all retail and/or commercial space
8,8-33,Quonset hut or butler type building
10,6-77,Special industrial improvement
10,8-30,Supermarket
10,5-50,Industrial land
11,7-29,Motel
13,6-73,Industrial quonset hut or butler type building
14,8-28,Bank building
15,5-00,Commercial land
18,7-90,Other minor commercial improvement
19,7-92,Two or three story building containing part or all retail and/or commercial space
21,6-38,Industrial Brownfield
24,8-23,"Gasoline station with/without bay, store"
24,4-91,Not for profit improvement over three stories
25,7-91,"Office building (One story, low, rise, mid rise, high rise)"
27,8-97,Special commercial structure
30,8-99,Commercial/Industrial condominium unit/garage
34,5-81,Garage used in conjunction with industrial improvement
36,2-25,Single room occupancy rental building
37,5-16,Non-fireproof hotel or rooming house (apartment hotel)
42,9-13,"Two or three story apartment building, seven or more units"
42,4-93,Not for profit industrial building
44,8-80,Industrial minor improvement
44,5-26,Commercial greenhouse
47,3-01,Garage used in conjunction with rental apartments
61,6-79,Industrial condominium unit
62,4-99,Not for profit condominium
67,9-96,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership"
72,5-32,Bowling alley
89,4-92,Not for profit two or three story building containing part or all retail and/or commercial space
92,9-18,Mixed use commercial/residential building with apartments and commercial area where the commercial area is granted an incentive use
92,2-88,Home improvement exemption
97,5-87,Special industrial improvement
105,2-24,Farm Building
106,5-27,Theatre
141,4-17,Not for profit one story commercial building
142,8-90,Minor industrial improvement
145,4-35,Not for profit golf course improvement
146,9-97,Special rental structure
146,8-93,Industrial building
154,5-01,Garage used in conjunction with commercial improvements
160,9-90,Other minor improvements
161,5-83,Industrial quonset hut or butler type building
169,4-97,Not for profit special structure
178,5-35,Golf course improvement
215,5-33,Quonset hut or butler type building
221,6-70,Industrial minor improvement
233,9-91,Apartment buildings over three stories
244,8-17,One story commercial building
